Time(s),T1_center(℃),T2_surface(℃),T3_tab(℃)
86,25.0,25.0,25.0
87,25.0,25.0,25.0
88,25.0,25.0,25.0
89,25.0,25.0,25.0
90,25.0,25.0,25.0
91,25.0,25.0,25.0
92,25.0,25.0,25.0
93,25.0,25.0,25.0
94,25.0,25.0,25.0
95,25.0,25.0,25.0
96,25.0,25.0,25.0
97,25.0,25.0,25.0
98,25.0,25.0,25.0
99,25.0,25.0,25.0
100,25.0,25.0,25.0
101,25.0,25.0,25.0
102,25.0,25.0,25.0
103,25.0,25.0,25.0
104,25.0,25.0,25.0
105,25.0,25.0,25.0
106,25.0,25.0,25.0
107,25.0,25.0,25.0
108,25.0,25.0,25.0
109,25.0,25.0,25.0
110,25.0,25.0,25.0
111,25.0,25.0,25.0
112,25.0,25.0,25.0
113,25.0,25.0,25.0
114,25.0,25.0,25.0
115,25.0,25.0,25.0
116,25.0,25.0,25.0
117,25.0,25.0,25.0
118,25.0,25.0,25.0
119,25.0,25.0,25.0
120,25.0,25.0,25.0
121,25.0,25.0,25.0
122,25.0,25.0,25.0
123,25.0,25.0,25.0
124,25.0,25.0,25.0
125,25.0,25.0,25.0
126,25.0,25.0,25.0
127,25.0,25.0,25.0
128,25.0,25.0,25.0
129,25.0,25.0,25.0
130,25.0,25.0,25.0
131,25.0,25.0,25.0
132,25.0,25.0,25.0
133,25.0,25.0,25.0
134,25.0,25.0,25.0
135,25.0,25.0,25.0
136,25.0,25.0,25.0
137,25.0,25.0,25.0
138,25.0,25.0,25.0
139,25.0,25.0,25.0
140,25.0,25.0,25.0
141,25.0,25.0,25.0
142,25.0,25.0,25.0
143,25.0,25.0,25.0
144,25.0,25.0,25.0
145,25.0,25.0,25.0
146,25.0,25.0,25.0
147,25.0,25.0,25.0
148,25.0,25.0,25.0
149,25.0,25.0,25.0
150,25.0,25.0,25.0
151,25.0,25.0,25.0
152,25.0,25.0,25.0
153,25.0,25.0,25.0
154,25.0,25.0,25.0
155,25.0,25.0,25.0
156,25.0,25.0,25.0
157,25.0,25.0,25.0
158,25.0,25.0,25.0
159,25.0,25.0,25.0
160,25.0,25.0,25.0
161,25.0,25.0,25.0
162,25.0,25.0,25.0
163,25.0,25.0,25.0
164,25.0,25.0,25.0
165,25.0,25.0,25.0
166,25.0,25.0,25.0
167,25.0,25.0,25.0
168,25.0,25.0,25.0
169,25.0,25.0,25.0
170,25.0,25.0,25.0
171,25.0,25.0,25.0
172,25.0,25.0,25.0
173,25.0,25.0,25.0
174,25.0,25.0,25.0
175,25.0,25.0,25.0
176,25.0,25.0,25.0
177,25.0,25.0,25.0
178,25.0,25.0,25.0
179,25.0,25.0,25.0
180,25.0,25.0,25.0
181,25.0,25.0,25.0
182,25.0,25.0,25.0
183,25.0,25.0,25.0
184,25.0,25.0,25.0
185,25.0,25.0,25.0
186,25.0,25.0,25.0
187,25.0,25.0,25.0
188,25.0,25.0,25.0
189,25.0,25.0,25.0
190,25.0,25.0,25.0
191,25.0,25.0,25.0
192,25.0,25.0,25.0
193,25.0,25.0,25.0
194,25.0,25.0,25.0
195,25.0,25.0,25.0
196,25.0,25.0,25.0
197,25.0,25.0,25.0
198,25.0,25.0,25.0
199,25.0,25.0,25.0
200,25.0,25.0,25.0
201,25.0,25.0,25.0
202,25.0,25.0,25.0
203,25.0,25.0,25.0
204,25.0,25.0,25.0
205,25.0,25.0,25.0
206,25.0,25.0,25.0
207,25.0,25.0,25.0
208,25.0,25.0,25.0
209,25.0,25.0,25.0
210,25.0,25.0,25.0
211,25.0,25.0,25.0
212,25.0,25.0,25.0
213,25.0,25.0,25.0
214,25.0,25.0,25.0
215,25.0,25.0,25.0
216,25.0,25.0,25.0
217,25.0,25.0,25.0
218,25.0,25.0,25.0
219,25.0,25.0,25.0
220,25.0,25.0,25.0
221,25.0,25.0,25.0
222,25.0,25.0,25.0
223,25.0,25.0,25.0
224,25.0,25.0,25.0
225,25.0,25.0,25.0
226,25.0,25.0,25.0
227,25.0,25.0,25.0
228,25.0,25.0,25.0
229,25.0,25.0,25.0
230,25.0,25.0,25.0
231,25.0,25.0,25.0
232,25.0,25.0,25.0
233,25.0,25.0,25.0
234,25.0,25.0,25.0
235,25.0,25.0,25.0
236,25.0,25.0,25.0
237,25.0,25.0,25.0
238,25.0,25.0,25.0
239,25.0,25.0,25.0
240,25.0,25.0,25.0
241,25.0,25.0,25.0
242,25.0,25.0,25.0
243,25.0,25.0,25.0
244,25.0,25.0,25.0
245,25.0,25.0,25.0
246,25.0,25.0,25.0
247,25.0,25.0,25.0
248,25.0,25.0,25.0
249,25.0,25.0,25.0
250,25.0,25.0,25.0
251,25.0,25.0,25.0
252,25.0,25.0,25.0
253,25.0,25.0,25.0
254,25.0,25.0,25.0
255,25.0,25.0,25.0
256,25.0,25.0,25.0
257,25.0,25.0,25.0
258,25.0,25.0,25.0
259,25.0,25.0,25.0
260,25.0,25.0,25.0
261,25.0,25.0,25.0
262,25.0,25.0,25.0
263,25.0,25.0,25.0
264,25.0,25.0,25.0
265,25.0,25.0,25.0
266,25.0,25.0,25.0
267,25.0,25.0,25.0
268,25.0,25.0,25.0
269,25.0,25.0,25.0
270,25.0,25.0,25.0
271,25.0,25.0,25.0
272,25.0,25.0,25.0
273,25.0,25.0,25.0
274,25.0,25.0,25.0
275,25.0,25.0,25.0
276,25.0,25.0,25.0
277,25.0,25.0,25.0
278,25.0,25.0,25.0
279,25.0,25.0,25.0
280,25.0,25.0,25.0
281,25.0,25.0,25.0
282,25.0,25.0,25.0
283,25.0,25.0,25.0
284,25.0,25.0,25.0
285,25.0,25.0,25.0
286,25.0,25.0,25.0
287,25.0,25.0,25.0
288,25.0,25.0,25.0
289,25.0,25.0,25.0
290,25.0,25.0,25.0
291,25.0,25.0,25.0
292,25.0,25.0,25.0
293,25.0,25.0,25.0
294,25.0,25.0,25.0
295,25.0,25.0,25.0
296,25.0,25.0,25.0
297,25.0,25.0,25.0
298,25.0,25.0,25.0
299,25.0,25.0,25.0
300,23.6,24.6,25.0
301,28.3,27.1,27.1
302,34.4,31.1,29.2
303,38.6,33.2,31.3
304,39.1,36.2,33.3
305,45.5,38.9,35.3
306,47.4,41.2,37.3
307,51.5,44.8,39.3
308,53.9,47.2,41.2
309,58.9,50.0,43.1
310,61.4,52.8,45.0
311,65.8,55.4,46.8
312,67.4,57.0,48.6
313,69.5,59.4,50.4
314,75.0,62.8,52.2
315,77.2,64.4,53.9
316,81.5,67.3,55.6
317,84.1,69.2,57.3
318,85.1,72.3,59.0
319,88.9,73.8,60.7
320,91.4,75.4,62.3
321,95.4,77.6,63.9
322,97.7,80.9,65.5
323,99.1,82.4,67.0
324,99.9,84.0,68.5
325,103.8,86.9,70.0
326,106.4,88.2,71.5
327,109.0,90.2,73.0
328,110.7,93.1,74.5
329,114.8,94.2,75.9
330,117.2,96.5,77.3
331,116.4,98.5,78.7
332,120.7,100.2,80.0
333,122.5,102.0,81.4
334,125.3,102.6,82.7
335,125.2,105.2,84.0
336,128.8,107.0,85.3
337,129.4,107.1,86.6
338,130.1,108.5,87.8
339,131.3,110.6,89.1
340,135.4,111.8,90.3
341,138.5,113.9,91.5
342,138.3,115.5,92.7
343,141.9,116.8,93.8
344,142.3,119.4,95.0
345,144.8,120.2,96.1
346,143.4,122.1,97.3
347,145.6,122.3,98.4
348,150.4,124.1,99.4
349,148.5,125.6,100.5
350,151.9,126.9,101.6
351,154.7,127.9,102.6
352,154.3,128.9,103.6
353,154.1,131.0,104.6
354,157.5,131.0,105.6
355,159.4,133.0,106.6
356,158.7,134.1,107.6
357,162.8,136.3,108.6
358,160.7,137.5,109.5
359,163.8,136.7,110.4
360,166.3,138.8,111.3
361,165.0,139.3,112.2
362,169.1,140.5,113.1
363,168.6,142.0,114.0
364,170.1,142.9,114.9
365,168.5,144.4,115.7
366,171.9,144.6,116.6
367,172.6,145.4,117.4
368,172.3,147.6,118.2
369,173.1,147.4,119.0
370,175.2,148.3,119.8
371,174.9,150.7,120.6
372,177.7,149.8,121.4
373,180.3,150.8,122.1
374,180.7,151.7,122.9
375,180.9,154.4,123.6
376,179.4,154.8,124.4
377,181.8,154.8,125.1
378,182.6,155.6,125.8
379,183.3,156.5,126.5
380,185.4,158.3,127.2
381,186.8,157.5,127.8
382,187.2,158.7,128.5
383,186.5,160.6,129.2
384,186.7,160.1,129.8
385,186.6,162.1,130.5
386,190.0,162.4,131.1
387,189.5,162.5,131.7
388,190.9,163.5,132.3
389,190.8,164.4,132.9
390,191.9,165.6,133.5
391,192.7,164.9,134.1
392,193.5,165.8,134.7
393,195.7,165.9,135.3
394,194.7,167.8,135.8
395,194.8,168.0,136.4
396,195.2,169.4,136.9
397,196.4,169.6,137.5
398,196.1,168.9,138.0
399,197.8,170.0,138.5
400,197.9,170.1,139.1
401,200.1,172.2,139.6
402,198.3,173.1,140.1
403,197.9,173.2,140.6
404,201.0,174.2,141.0
405,200.7,173.0,141.5
406,203.0,174.9,142.0
407,201.1,175.4,142.5
408,200.9,175.4,142.9
409,202.6,176.2,143.4
410,201.4,175.2,143.8
411,203.1,176.5,144.3
412,205.3,177.4,144.7
413,205.7,177.0,145.1
414,203.9,178.3,145.6
415,205.3,177.8,146.0
416,204.8,179.4,146.4
417,206.1,179.7,146.8
418,207.3,179.5,147.2
419,204.5,180.5,147.6
420,206.8,180.6,148.0
421,205.7,180.3,148.4
422,207.4,180.6,148.7
423,207.2,182.8,149.1
424,208.4,181.4,149.5
425,207.3,182.7,149.8
426,208.3,182.0,150.2
427,207.8,184.0,150.6
428,209.9,184.3,150.9
429,208.0,183.9,151.2
430,210.0,184.1,151.6
431,212.2,183.9,151.9
432,211.8,185.6,152.2
433,210.4,185.1,152.6
434,213.1,185.4,152.9
435,212.0,185.8,153.2
436,212.3,186.0,153.5
437,212.4,187.0,153.8
438,211.3,186.9,154.1
439,214.4,186.9,154.4
440,213.9,187.0,154.7
441,212.1,188.1,155.0
442,211.6,187.7,155.3
443,214.4,188.4,155.6
444,212.8,187.7,155.8
445,212.7,189.6,156.1
446,215.8,189.0,156.4
447,215.6,189.7,156.6
448,216.5,190.1,156.9
449,215.1,189.3,157.1
450,214.3,190.5,157.4
451,215.7,190.5,157.7
452,213.9,190.4,157.9
453,213.9,191.5,158.1
454,217.1,190.8,158.4
455,215.3,191.0,158.6
456,217.7,191.5,158.8
457,217.0,192.3,159.1
458,215.2,191.6,159.3
459,216.5,192.2,159.5
460,215.3,192.2,159.7
461,217.2,192.6,160.0
462,218.1,193.2,160.2
463,216.6,194.0,160.4
464,215.9,193.5,160.6
465,217.2,194.4,160.8
466,219.0,194.3,161.0
467,218.8,194.2,161.2
468,220.0,193.5,161.4
469,217.1,194.8,161.6
470,217.7,193.7,161.8
471,219.9,195.3,162.0
472,216.7,195.1,162.1
473,220.3,194.9,162.3
474,217.5,194.7,162.5
475,218.8,196.2,162.7
476,217.8,196.1,162.9
477,220.8,195.3,163.0
478,218.3,196.3,163.2
479,221.2,195.2,163.4
480,219.5,195.8,163.5
481,218.4,196.7,163.7
482,217.9,197.1,163.9
483,218.2,195.6,164.0
484,218.0,195.8,164.2
485,219.2,196.7,164.3
486,221.4,197.8,164.5
487,220.8,196.3,164.6
488,221.5,197.3,164.8
489,221.5,197.7,164.9
490,222.4,197.3,165.1
491,221.7,197.0,165.2
492,219.2,198.2,165.3
493,220.0,197.0,165.5
494,222.7,198.3,165.6
495,220.9,198.5,165.7
496,222.4,197.2,165.9
497,220.7,198.3,166.0
498,220.0,198.5,166.1
499,221.9,198.0,166.3
500,220.8,199.3,166.4
501,220.5,198.3,166.5
502,221.7,197.8,166.6
503,223.3,199.8,166.7
504,221.8,199.8,166.9
505,221.8,199.1,167.0
506,219.8,199.0,167.1
507,222.3,199.6,167.2
508,222.4,199.0,167.3
509,220.8,199.7,167.4
510,220.2,200.3,167.5
511,223.6,199.1,167.6
512,222.5,199.9,167.7
513,222.1,200.2,167.8
514,220.3,200.4,167.9
515,224.2,200.7,168.0
516,222.1,200.4,168.1
517,221.7,199.4,168.2
518,223.7,200.9,168.3
519,220.5,201.0,168.4
520,221.8,200.0,168.5
521,223.4,200.6,168.6
522,221.2,200.1,168.7
523,221.9,200.5,168.8
524,224.1,201.0,168.9
525,224.3,200.6,169.0
526,221.0,201.2,169.1
527,221.6,201.1,169.1
528,223.1,201.2,169.2
529,221.6,201.9,169.3
530,224.2,200.4,169.4
531,223.0,200.2,169.5
532,224.3,200.4,169.5
533,224.3,201.8,169.6
534,221.4,201.9,169.7
535,223.9,201.8,169.8
536,224.5,201.4,169.8
537,222.2,201.4,169.9
538,223.0,202.4,170.0
539,223.1,201.4,170.1
540,224.3,201.3,170.1
541,225.3,201.5,170.2
542,223.9,201.4,170.3
543,222.2,202.7,170.3
544,221.5,202.2,170.4
545,221.5,201.5,170.5
546,225.4,201.6,170.5
547,221.6,201.1,170.6
548,225.3,201.4,170.7
549,222.4,202.3,170.7
550,223.7,202.9,170.8
551,223.6,201.5,170.8
552,223.1,201.5,170.9
553,222.7,203.1,171.0
554,223.5,202.9,171.0
555,223.9,201.6,171.1
556,222.5,202.3,171.1
557,224.1,203.3,171.2
558,222.0,201.9,171.2
559,222.7,201.6,171.3
560,224.9,203.2,171.3
561,225.7,202.4,171.4
562,223.3,203.4,171.4
563,222.8,201.8,171.5
564,223.4,203.1,171.5
565,222.6,202.5,171.6
566,223.4,203.5,171.6
567,223.6,202.2,171.7
568,222.4,202.2,171.7
569,225.0,203.3,171.8
570,222.3,202.1,171.8
571,224.3,203.9,171.9
572,224.0,204.0,171.9
573,224.1,203.3,172.0
574,223.8,202.7,172.0
575,225.0,203.5,172.0
576,224.9,202.4,172.1
577,224.2,203.9,172.1
578,223.8,203.0,172.2
579,225.1,204.2,172.2
580,222.6,202.6,172.3
581,226.1,202.6,172.3
582,225.2,203.7,172.3
583,224.2,203.2,172.4
584,225.5,203.6,172.4
585,225.5,202.7,172.4
586,226.1,203.8,172.5
587,224.2,203.3,172.5
588,224.8,204.4,172.5
589,223.5,202.9,172.6
590,223.4,203.3,172.6
591,225.7,204.2,172.7
592,224.8,203.8,172.7
593,224.1,203.7,172.7
594,224.4,204.3,172.8
595,223.3,204.7,172.8
596,224.2,203.5,172.8
597,224.0,204.5,172.8
598,224.2,204.1,172.9
599,223.7,204.5,172.9
600,224.7,203.6,172.9
601,223.5,203.5,173.0
602,225.3,203.7,173.0
603,225.3,203.6,173.0
604,225.2,204.2,173.1
605,223.3,203.5,173.1
606,225.3,204.1,173.1
607,223.4,204.1,173.1
608,223.5,204.5,173.2
609,223.6,204.4,173.2
610,224.4,204.2,173.2
611,224.5,204.4,173.2
612,226.3,203.8,173.3
613,223.5,204.9,173.3
614,222.7,205.0,173.3
615,223.8,205.0,173.3
616,224.2,204.3,173.4
617,226.6,204.0,173.4
618,224.0,203.7,173.4
619,224.2,204.4,173.4
620,226.2,203.9,173.4
621,223.5,204.5,173.5
622,224.1,203.5,173.5
623,223.0,203.7,173.5
624,224.7,204.6,173.5
625,223.1,203.4,173.6
626,225.4,204.4,173.6
627,226.5,203.8,173.6
628,225.0,204.8,173.6
629,222.8,204.0,173.6
630,224.1,203.3,173.7
631,225.6,204.5,173.7
632,224.1,203.4,173.7
633,224.3,204.5,173.7
634,222.9,203.3,173.7
635,223.2,205.0,173.7
636,224.3,204.7,173.8
637,223.6,204.6,173.8
638,224.9,205.1,173.8
639,226.8,203.8,173.8
640,225.3,203.9,173.8
641,225.0,204.3,173.9
642,225.1,204.1,173.9
643,224.4,204.5,173.9
644,223.1,204.9,173.9
645,225.7,204.3,173.9
646,223.8,204.3,173.9
647,226.6,204.8,173.9
648,223.8,204.2,174.0
649,222.8,205.1,174.0
650,225.2,205.1,174.0
651,223.5,204.2,174.0
652,225.4,203.8,174.0
653,224.2,205.0,174.0
654,225.7,204.9,174.0
655,224.4,205.3,174.1
656,225.3,204.5,174.1
657,224.2,204.9,174.1
658,224.5,204.7,174.1
659,224.7,204.6,174.1
660,223.4,204.2,174.1
661,224.0,204.6,174.1
662,224.4,204.5,174.1
663,226.5,203.9,174.2
664,226.7,204.8,174.2
665,225.9,204.9,174.2
666,225.2,204.6,174.2
667,224.0,205.0,174.2
668,223.2,204.6,174.2
669,225.2,203.7,174.2
670,226.8,205.6,174.2
671,224.5,204.8,174.3
672,223.2,205.5,174.3
673,226.1,205.6,174.3
674,223.1,204.7,174.3
675,224.0,205.5,174.3
676,225.3,203.8,174.3
677,226.3,204.3,174.3
678,224.0,203.8,174.3
679,225.4,205.1,174.3
680,226.7,204.8,174.3
681,226.5,205.2,174.4
682,225.9,205.2,174.4
683,225.3,205.6,174.4
684,223.0,204.1,174.4
685,224.0,204.7,174.4
686,225.6,203.9,174.4
687,224.1,205.6,174.4
688,226.8,204.5,174.4
689,225.5,205.4,174.4
690,226.9,204.8,174.4
691,225.0,204.0,174.4
692,225.2,205.6,174.4
693,224.5,204.6,174.5
694,225.9,205.5,174.5
695,225.0,205.5,174.5
696,223.0,205.4,174.5
697,223.9,205.7,174.5
698,226.4,203.8,174.5
699,223.4,205.6,174.5
700,225.0,204.5,174.5
701,225.2,205.3,174.5
702,225.8,204.9,174.5
703,223.9,204.2,174.5
704,225.9,204.8,174.5
705,223.6,205.1,174.5
706,223.5,204.8,174.5
707,224.2,204.8,174.6
708,223.4,204.3,174.6
709,223.7,204.2,174.6
710,224.1,204.8,174.6
711,224.2,204.5,174.6
712,226.5,204.8,174.6
713,223.7,204.0,174.6
714,225.6,204.0,174.6
715,226.2,205.4,174.6
716,225.6,205.7,174.6
717,226.7,204.1,174.6
718,224.4,205.7,174.6
719,223.1,205.3,174.6
720,225.7,205.0,174.6
721,224.1,205.3,174.6
722,226.8,204.9,174.6
723,225.8,205.4,174.6
724,225.9,205.2,174.6
725,223.1,205.5,174.7
726,224.7,204.7,174.7
727,225.5,204.1,174.7
728,225.5,204.3,174.7
729,223.3,204.1,174.7
730,225.3,205.3,174.7
731,225.8,203.9,174.7
732,225.6,205.0,174.7
733,225.3,204.4,174.7
734,224.2,204.1,174.7
735,225.8,204.8,174.7
736,223.0,205.8,174.7
737,223.6,204.1,174.7
738,226.5,204.5,174.7
739,223.7,205.2,174.7
740,226.6,204.2,174.7
741,223.1,204.1,174.7
742,224.0,204.6,174.7
743,226.1,204.1,174.7
744,224.9,204.6,174.7
745,225.6,204.8,174.7
746,224.3,205.0,174.7
747,225.7,204.8,174.7
748,226.6,204.5,174.8
749,223.1,204.4,174.8
750,226.8,205.1,174.8
751,223.3,204.0,174.8
752,223.8,205.2,174.8
753,226.4,204.2,174.8
754,223.4,203.9,174.8
755,223.4,205.4,174.8
756,225.0,204.1,174.8
757,223.3,204.9,174.8
758,225.3,205.4,174.8
759,224.9,205.6,174.8
760,226.7,204.1,174.8
761,226.4,204.6,174.8
762,226.8,205.2,174.8
763,225.4,205.0,174.8
764,224.6,204.6,174.8
765,223.7,204.8,174.8
766,223.9,205.4,174.8
767,223.1,204.9,174.8
768,225.9,205.1,174.8
769,224.1,204.0,174.8
770,226.3,204.3,174.8
771,226.9,204.8,174.8
772,224.9,205.6,174.8
773,225.1,205.7,174.8
774,224.1,204.0,174.8
775,225.6,204.1,174.8
776,225.3,205.2,174.8
777,224.1,205.2,174.8
778,224.9,204.9,174.8
779,224.3,205.1,174.8
780,224.0,204.8,174.8
781,225.6,204.9,174.8
782,223.5,205.6,174.8
783,226.5,204.1,174.8
784,223.3,205.3,174.9
785,226.3,205.9,174.9
786,225.5,204.5,174.9
787,226.7,204.9,174.9
788,224.1,205.7,174.9
789,224.6,204.1,174.9
790,223.4,205.3,174.9
791,223.0,204.3,174.9
792,225.3,204.0,174.9
793,226.9,205.2,174.9
794,225.3,205.5,174.9
795,224.2,205.9,174.9
796,225.6,205.5,174.9
797,223.9,204.6,174.9
798,226.3,205.9,174.9
799,224.2,204.0,174.9
800,225.2,205.4,174.9
801,223.9,204.2,174.9
802,224.5,204.6,174.9
803,224.7,204.8,174.9
804,224.2,205.4,174.9
805,225.7,205.3,174.9
806,224.7,205.8,174.9
807,225.9,205.4,174.9
808,223.5,205.2,174.9
809,224.4,204.8,174.9
810,224.0,205.8,174.9
811,223.7,205.3,174.9
812,225.9,204.9,174.9
813,223.9,205.2,174.9
814,226.0,204.8,174.9
815,225.7,204.6,174.9
816,226.7,205.7,174.9
817,226.7,204.4,174.9
818,223.4,205.2,174.9
819,225.8,204.6,174.9
820,226.9,205.5,174.9
821,223.3,205.3,174.9
822,226.3,205.9,174.9
823,225.9,204.9,174.9
824,225.6,205.3,174.9
825,223.8,205.3,174.9
826,223.4,205.0,174.9
827,224.6,204.2,174.9
828,224.6,205.6,174.9
829,226.8,205.1,174.9
830,223.0,204.4,174.9
831,224.1,205.6,174.9
832,226.9,204.6,174.9
833,224.4,205.0,174.9
834,225.4,204.7,174.9
835,223.8,205.1,174.9
836,223.0,204.3,174.9
837,223.7,205.9,174.9
838,224.1,204.8,174.9
839,223.2,205.6,174.9
840,226.2,205.8,174.9
841,225.9,204.5,174.9
842,224.0,205.9,174.9
843,224.0,205.9,174.9
844,225.2,205.4,174.9
845,223.0,205.2,174.9
846,225.6,204.7,174.9
847,226.0,204.8,174.9
848,225.3,204.7,174.9
849,224.6,204.2,174.9
850,224.1,205.8,174.9
851,223.4,205.2,174.9
852,223.0,204.3,174.9
853,226.1,205.4,174.9
854,224.6,204.6,174.9
855,224.5,204.3,174.9
856,225.9,205.3,174.9
857,223.3,204.2,174.9
858,225.2,205.5,174.9
859,224.9,205.6,174.9
860,226.7,206.0,174.9
861,224.8,205.1,175.0
862,225.7,205.8,175.0
863,223.9,205.8,175.0
864,224.9,204.7,175.0
865,226.3,204.5,175.0
866,224.1,204.6,175.0
867,225.0,204.4,175.0
868,225.9,204.9,175.0
869,224.2,204.6,175.0
870,225.1,205.4,175.0
871,223.6,205.5,175.0
872,225.6,205.9,175.0
873,223.1,204.1,175.0
874,224.9,204.1,175.0
875,224.9,205.9,175.0
876,224.7,205.9,175.0
877,223.8,205.8,175.0
878,226.9,204.8,175.0
879,226.6,204.3,175.0
880,223.7,205.4,175.0
881,227.0,204.3,175.0
882,225.3,205.9,175.0
883,223.7,205.2,175.0
884,224.6,204.1,175.0
885,225.9,205.1,175.0
886,225.5,205.4,175.0
887,223.3,204.4,175.0
888,225.8,204.9,175.0
889,225.9,204.2,175.0
890,223.1,204.4,175.0
891,227.0,205.5,175.0
892,223.0,205.9,175.0
893,225.3,205.2,175.0
894,226.1,204.3,175.0
895,224.3,205.3,175.0
896,224.6,204.7,175.0
897,223.1,205.8,175.0
898,225.9,204.4,175.0
899,226.9,204.1,175.0
900,225.7,204.8,175.0
901,223.2,204.4,175.0
902,226.0,204.5,175.0
903,224.1,204.5,175.0
904,224.8,205.6,175.0
905,224.2,205.1,175.0
906,224.9,205.6,175.0
907,226.6,204.6,175.0
908,224.5,204.1,175.0
909,223.4,205.8,175.0
910,226.3,205.6,175.0
911,223.9,205.0,175.0
912,224.6,205.9,175.0
913,223.1,205.7,175.0
914,224.1,204.1,175.0
915,225.9,204.5,175.0
916,223.9,204.4,175.0
917,223.5,204.4,175.0
918,226.5,205.6,175.0
919,225.8,204.4,175.0
920,226.3,205.8,175.0
921,225.5,205.5,175.0
922,223.4,205.1,175.0
923,225.1,205.2,175.0
924,223.8,205.7,175.0
925,226.8,204.3,175.0
926,223.1,205.5,175.0
927,223.3,204.5,175.0
928,226.4,205.6,175.0
929,223.5,205.5,175.0
930,223.3,204.8,175.0
931,223.8,204.9,175.0
932,223.2,205.3,175.0
933,226.8,205.9,175.0
934,226.0,204.5,175.0
935,226.6,204.6,175.0
936,223.7,204.4,175.0
937,223.5,205.6,175.0
938,226.5,205.9,175.0
939,225.9,204.8,175.0
940,226.7,205.9,175.0
941,226.5,204.5,175.0
942,224.9,204.4,175.0
943,223.7,205.0,175.0
944,226.9,204.2,175.0
945,225.0,205.6,175.0
946,226.9,205.4,175.0
947,225.1,205.7,175.0
948,226.7,204.3,175.0
949,224.7,204.9,175.0
950,226.5,205.0,175.0
951,224.3,204.3,175.0
952,224.9,204.8,175.0
953,226.7,204.2,175.0
954,224.9,206.0,175.0
955,226.0,205.2,175.0
956,223.2,204.1,175.0
957,225.9,205.5,175.0
958,225.7,205.4,175.0
959,225.7,204.5,175.0
960,224.1,205.3,175.0
961,225.6,204.8,175.0
962,226.3,204.2,175.0
963,224.0,204.2,175.0
964,226.2,204.1,175.0
965,224.7,204.3,175.0
966,225.6,205.3,175.0
967,225.9,204.9,175.0
968,226.8,205.3,175.0
969,226.9,205.7,175.0
970,224.5,204.7,175.0
971,226.1,205.9,175.0
972,223.6,204.7,175.0
973,223.5,204.1,175.0
974,226.7,204.2,175.0
975,226.3,204.8,175.0
976,224.6,205.7,175.0
977,223.1,206.0,175.0
978,224.8,204.4,175.0
979,225.6,204.9,175.0
980,223.2,204.3,175.0
981,225.9,204.5,175.0
982,223.8,204.0,175.0
983,225.2,204.5,175.0
984,224.4,205.4,175.0
985,224.6,204.8,175.0
986,223.9,205.9,175.0
987,224.6,205.6,175.0
988,224.6,205.4,175.0
989,227.0,204.1,175.0
990,224.2,205.8,175.0
991,226.2,205.5,175.0
992,225.8,205.8,175.0
993,224.4,204.0,175.0
994,226.8,205.3,175.0
