Cycle,Step,Capacity(Ah),Energy(Wh),Voltage(V),Current(A)
62,CC_DChg,2.3735,7.5951,2.5,-2.5
63,CC_Chg,2.3237,8.7731,4.2,1.25
63,CC_DChg,2.3711,7.5875,2.5,-2.5
64,CC_Chg,2.3218,8.7661,4.2,1.25
64,CC_DChg,2.3692,7.5815,2.5,-2.5
65,CC_Chg,2.3197,8.758,4.2,1.25
65,CC_DChg,2.367,7.5745,2.5,-2.5
66,CC_Chg,2.3178,8.7508,4.2,1.25
66,CC_DChg,2.3651,7.5683,2.5,-2.5
67,CC_Chg,2.3162,8.7448,4.2,1.25
67,CC_DChg,2.3635,7.5631,2.5,-2.5
68,CC_Chg,2.3141,8.7367,4.2,1.25
68,CC_DChg,2.3613,7.5561,2.5,-2.5
69,CC_Chg,2.312,8.7288,4.2,1.25
69,CC_DChg,2.3591,7.5492,2.5,-2.5
70,CC_Chg,2.3099,8.7211,4.2,1.25
70,CC_DChg,2.357,7.5425,2.5,-2.5
71,CC_Chg,2.3081,8.7142,4.2,1.25
71,CC_DChg,2.3552,7.5366,2.5,-2.5
72,CC_Chg,2.306,8.7065,4.2,1.25
72,CC_DChg,2.3531,7.5299,2.5,-2.5
73,CC_Chg,2.3044,8.7004,4.2,1.25
73,CC_DChg,2.3515,7.5247,2.5,-2.5
74,CC_Chg,2.3021,8.6917,4.2,1.25
74,CC_DChg,2.3491,7.5171,2.5,-2.5
75,CC_Chg,2.3005,8.6855,4.2,1.25
75,CC_DChg,2.3474,7.5118,2.5,-2.5
76,CC_Chg,2.2988,8.6791,4.2,1.25
76,CC_DChg,2.3457,7.5062,2.5,-2.5
77,CC_Chg,2.297,8.6725,4.2,1.25
77,CC_DChg,2.3439,7.5005,2.5,-2.5
78,CC_Chg,2.295,8.6646,4.2,1.25
78,CC_DChg,2.3418,7.4937,2.5,-2.5
79,CC_Chg,2.2928,8.6563,4.2,1.25
79,CC_DChg,2.3395,7.4866,2.5,-2.5
80,CC_Chg,2.2907,8.6486,4.2,1.25
80,CC_DChg,2.3375,7.4799,2.5,-2.5
81,CC_Chg,2.289,8.642,4.2,1.25
81,CC_DChg,2.3357,7.4742,2.5,-2.5
82,CC_Chg,2.2871,8.6348,4.2,1.25
82,CC_DChg,2.3337,7.4679,2.5,-2.5
83,CC_Chg,2.285,8.627,4.2,1.25
83,CC_DChg,2.3316,7.4611,2.5,-2.5
84,CC_Chg,2.283,8.6194,4.2,1.25
84,CC_DChg,2.3296,7.4546,2.5,-2.5
85,CC_Chg,2.2809,8.6116,4.2,1.25
85,CC_DChg,2.3275,7.4479,2.5,-2.5
86,CC_Chg,2.2789,8.6041,4.2,1.25
86,CC_DChg,2.3254,7.4414,2.5,-2.5
87,CC_Chg,2.2767,8.5956,4.2,1.25
87,CC_DChg,2.3231,7.4341,2.5,-2.5
88,CC_Chg,2.2749,8.5889,4.2,1.25
88,CC_DChg,2.3213,7.4282,2.5,-2.5
89,CC_Chg,2.2726,8.5803,4.2,1.25
89,CC_DChg,2.319,7.4208,2.5,-2.5
90,CC_Chg,2.2709,8.5737,4.2,1.25
90,CC_DChg,2.3172,7.4151,2.5,-2.5
91,CC_Chg,2.2686,8.5652,4.2,1.25
91,CC_DChg,2.3149,7.4077,2.5,-2.5
92,CC_Chg,2.2668,8.5584,4.2,1.25
92,CC_DChg,2.3131,7.4019,2.5,-2.5
93,CC_Chg,2.2652,8.5522,4.2,1.25
93,CC_DChg,2.3114,7.3965,2.5,-2.5
94,CC_Chg,2.2633,8.545,4.2,1.25
94,CC_DChg,2.3095,7.3903,2.5,-2.5
95,CC_Chg,2.2613,8.5376,4.2,1.25
95,CC_DChg,2.3075,7.3839,2.5,-2.5
96,CC_Chg,2.259,8.5289,4.2,1.25
96,CC_DChg,2.3051,7.3764,2.5,-2.5
97,CC_Chg,2.2567,8.5202,4.2,1.25
97,CC_DChg,2.3028,7.3689,2.5,-2.5
98,CC_Chg,2.2547,8.5127,4.2,1.25
98,CC_DChg,2.3007,7.3624,2.5,-2.5
99,CC_Chg,2.2526,8.5046,4.2,1.25
99,CC_DChg,2.2986,7.3554,2.5,-2.5
100,CC_Chg,2.2508,8.498,4.2,1.25
100,CC_DChg,2.2968,7.3497,2.5,-2.5
101,CC_Chg,2.2488,8.4903,4.2,1.25
101,CC_DChg,2.2947,7.343,2.5,-2.5
102,CC_Chg,2.247,8.4835,4.2,1.25
102,CC_DChg,2.2928,7.3371,2.5,-2.5
103,CC_Chg,2.245,8.4761,4.2,1.25
103,CC_DChg,2.2908,7.3307,2.5,-2.5
104,CC_Chg,2.2431,8.4688,4.2,1.25
104,CC_DChg,2.2889,7.3243,2.5,-2.5
105,CC_Chg,2.2409,8.4606,4.2,1.25
105,CC_DChg,2.2867,7.3173,2.5,-2.5
106,CC_Chg,2.2391,8.4538,4.2,1.25
106,CC_DChg,2.2848,7.3114,2.5,-2.5
107,CC_Chg,2.2375,8.4476,4.2,1.25
107,CC_DChg,2.2831,7.306,2.5,-2.5
108,CC_Chg,2.2359,8.4417,4.2,1.25
108,CC_DChg,2.2815,7.3009,2.5,-2.5
109,CC_Chg,2.2338,8.4338,4.2,1.25
109,CC_DChg,2.2794,7.2941,2.5,-2.5
110,CC_Chg,2.2315,8.4252,4.2,1.25
110,CC_DChg,2.2771,7.2867,2.5,-2.5
111,CC_Chg,2.2296,8.4178,4.2,1.25
111,CC_DChg,2.2751,7.2803,2.5,-2.5
112,CC_Chg,2.2279,8.4114,4.2,1.25
112,CC_DChg,2.2734,7.2747,2.5,-2.5
113,CC_Chg,2.2256,8.4026,4.2,1.25
113,CC_DChg,2.271,7.2671,2.5,-2.5
114,CC_Chg,2.2235,8.3947,4.2,1.25
114,CC_DChg,2.2688,7.2603,2.5,-2.5
115,CC_Chg,2.2214,8.387,4.2,1.25
115,CC_DChg,2.2667,7.2536,2.5,-2.5
116,CC_Chg,2.2194,8.3795,4.2,1.25
116,CC_DChg,2.2647,7.2472,2.5,-2.5
117,CC_Chg,2.2175,8.3721,4.2,1.25
117,CC_DChg,2.2627,7.2407,2.5,-2.5
118,CC_Chg,2.2158,8.3657,4.2,1.25
118,CC_DChg,2.261,7.2352,2.5,-2.5
119,CC_Chg,2.2139,8.3585,4.2,1.25
119,CC_DChg,2.259,7.2289,2.5,-2.5
120,CC_Chg,2.2123,8.3524,4.2,1.25
120,CC_DChg,2.2574,7.2237,2.5,-2.5
121,CC_Chg,2.2107,8.3465,4.2,1.25
121,CC_DChg,2.2558,7.2186,2.5,-2.5
122,CC_Chg,2.2086,8.3385,4.2,1.25
122,CC_DChg,2.2537,7.2117,2.5,-2.5
123,CC_Chg,2.2069,8.332,4.2,1.25
123,CC_DChg,2.2519,7.2061,2.5,-2.5
124,CC_Chg,2.2051,8.3255,4.2,1.25
124,CC_DChg,2.2501,7.2004,2.5,-2.5
125,CC_Chg,2.2029,8.3171,4.2,1.25
125,CC_DChg,2.2479,7.1932,2.5,-2.5
126,CC_Chg,2.2011,8.3104,4.2,1.25
126,CC_DChg,2.2461,7.1874,2.5,-2.5
127,CC_Chg,2.1994,8.3039,4.2,1.25
127,CC_DChg,2.2443,7.1817,2.5,-2.5
128,CC_Chg,2.1976,8.2971,4.2,1.25
128,CC_DChg,2.2425,7.1758,2.5,-2.5
129,CC_Chg,2.196,8.2911,4.2,1.25
129,CC_DChg,2.2408,7.1707,2.5,-2.5
130,CC_Chg,2.1941,8.284,4.2,1.25
130,CC_DChg,2.2389,7.1646,2.5,-2.5
131,CC_Chg,2.1923,8.2769,4.2,1.25
131,CC_DChg,2.237,7.1584,2.5,-2.5
132,CC_Chg,2.1906,8.2706,4.2,1.25
132,CC_DChg,2.2353,7.153,2.5,-2.5
133,CC_Chg,2.1888,8.2639,4.2,1.25
133,CC_DChg,2.2335,7.1471,2.5,-2.5
134,CC_Chg,2.1871,8.2574,4.2,1.25
134,CC_DChg,2.2317,7.1415,2.5,-2.5
135,CC_Chg,2.1853,8.2506,4.2,1.25
135,CC_DChg,2.2299,7.1357,2.5,-2.5
136,CC_Chg,2.1834,8.2434,4.2,1.25
136,CC_DChg,2.2279,7.1294,2.5,-2.5
137,CC_Chg,2.1811,8.2349,4.2,1.25
137,CC_DChg,2.2256,7.1221,2.5,-2.5
138,CC_Chg,2.1794,8.2282,4.2,1.25
138,CC_DChg,2.2238,7.1163,2.5,-2.5
139,CC_Chg,2.1771,8.2197,4.2,1.25
139,CC_DChg,2.2215,7.1089,2.5,-2.5
140,CC_Chg,2.1751,8.2122,4.2,1.25
140,CC_DChg,2.2195,7.1024,2.5,-2.5
141,CC_Chg,2.1729,8.2036,4.2,1.25
141,CC_DChg,2.2172,7.095,2.5,-2.5
142,CC_Chg,2.1706,8.1953,4.2,1.25
142,CC_DChg,2.2149,7.0878,2.5,-2.5
143,CC_Chg,2.1685,8.1873,4.2,1.25
143,CC_DChg,2.2128,7.0809,2.5,-2.5
144,CC_Chg,2.1662,8.1786,4.2,1.25
144,CC_DChg,2.2104,7.0734,2.5,-2.5
145,CC_Chg,2.1639,8.1698,4.2,1.25
145,CC_DChg,2.2081,7.0658,2.5,-2.5
146,CC_Chg,2.1616,8.1611,4.2,1.25
146,CC_DChg,2.2057,7.0583,2.5,-2.5
147,CC_Chg,2.1597,8.1539,4.2,1.25
147,CC_DChg,2.2038,7.052,2.5,-2.5
148,CC_Chg,2.1575,8.1455,4.2,1.25
148,CC_DChg,2.2015,7.0448,2.5,-2.5
149,CC_Chg,2.1556,8.1387,4.2,1.25
149,CC_DChg,2.1996,7.0388,2.5,-2.5
150,CC_Chg,2.1539,8.1322,4.2,1.25
150,CC_DChg,2.1979,7.0333,2.5,-2.5
151,CC_Chg,2.152,8.1247,4.2,1.25
151,CC_DChg,2.1959,7.0268,2.5,-2.5
152,CC_Chg,2.1501,8.1177,4.2,1.25
152,CC_DChg,2.194,7.0207,2.5,-2.5
153,CC_Chg,2.1481,8.1101,4.2,1.25
153,CC_DChg,2.1919,7.0142,2.5,-2.5
154,CC_Chg,2.146,8.1022,4.2,1.25
154,CC_DChg,2.1898,7.0073,2.5,-2.5
155,CC_Chg,2.1438,8.0938,4.2,1.25
155,CC_DChg,2.1875,7.0,2.5,-2.5
156,CC_Chg,2.1421,8.0876,4.2,1.25
156,CC_DChg,2.1858,6.9947,2.5,-2.5
157,CC_Chg,2.1399,8.0793,4.2,1.25
157,CC_DChg,2.1836,6.9875,2.5,-2.5
158,CC_Chg,2.1377,8.0709,4.2,1.25
158,CC_DChg,2.1813,6.9802,2.5,-2.5
159,CC_Chg,2.1361,8.0649,4.2,1.25
159,CC_DChg,2.1797,6.975,2.5,-2.5
160,CC_Chg,2.1345,8.0589,4.2,1.25
160,CC_DChg,2.1781,6.9698,2.5,-2.5
161,CC_Chg,2.1328,8.0523,4.2,1.25
161,CC_DChg,2.1763,6.9642,2.5,-2.5
162,CC_Chg,2.1312,8.0462,4.2,1.25
162,CC_DChg,2.1746,6.9589,2.5,-2.5
163,CC_Chg,2.129,8.038,4.2,1.25
163,CC_DChg,2.1724,6.9518,2.5,-2.5
164,CC_Chg,2.1274,8.032,4.2,1.25
164,CC_DChg,2.1708,6.9466,2.5,-2.5
165,CC_Chg,2.1256,8.0254,4.2,1.25
165,CC_DChg,2.169,6.9409,2.5,-2.5
166,CC_Chg,2.1234,8.017,4.2,1.25
166,CC_DChg,2.1667,6.9336,2.5,-2.5
167,CC_Chg,2.1215,8.0098,4.2,1.25
167,CC_DChg,2.1648,6.9274,2.5,-2.5
168,CC_Chg,2.1196,8.0026,4.2,1.25
168,CC_DChg,2.1629,6.9212,2.5,-2.5
169,CC_Chg,2.1179,7.9962,4.2,1.25
169,CC_DChg,2.1611,6.9157,2.5,-2.5
170,CC_Chg,2.1158,7.9882,4.2,1.25
170,CC_DChg,2.159,6.9088,2.5,-2.5
171,CC_Chg,2.1141,7.9819,4.2,1.25
171,CC_DChg,2.1573,6.9032,2.5,-2.5
172,CC_Chg,2.1124,7.9754,4.2,1.25
172,CC_DChg,2.1555,6.8976,2.5,-2.5
173,CC_Chg,2.1108,7.9692,4.2,1.25
173,CC_DChg,2.1538,6.8923,2.5,-2.5
174,CC_Chg,2.1087,7.9615,4.2,1.25
174,CC_DChg,2.1518,6.8856,2.5,-2.5
175,CC_Chg,2.1071,7.9552,4.2,1.25
175,CC_DChg,2.1501,6.8802,2.5,-2.5
176,CC_Chg,2.1048,7.9468,4.2,1.25
176,CC_DChg,2.1478,6.8729,2.5,-2.5
177,CC_Chg,2.1029,7.9397,4.2,1.25
177,CC_DChg,2.1459,6.8668,2.5,-2.5
178,CC_Chg,2.1008,7.9314,4.2,1.25
178,CC_DChg,2.1436,6.8596,2.5,-2.5
179,CC_Chg,2.0986,7.9232,4.2,1.25
179,CC_DChg,2.1414,6.8525,2.5,-2.5
180,CC_Chg,2.0969,7.9169,4.2,1.25
180,CC_DChg,2.1397,6.8471,2.5,-2.5
181,CC_Chg,2.0953,7.9109,4.2,1.25
181,CC_DChg,2.1381,6.8419,2.5,-2.5
182,CC_Chg,2.0936,7.9045,4.2,1.25
182,CC_DChg,2.1363,6.8363,2.5,-2.5
183,CC_Chg,2.0914,7.896,4.2,1.25
183,CC_DChg,2.134,6.829,2.5,-2.5
184,CC_Chg,2.0891,7.8875,4.2,1.25
184,CC_DChg,2.1317,6.8216,2.5,-2.5
185,CC_Chg,2.0873,7.8805,4.2,1.25
185,CC_DChg,2.1299,6.8156,2.5,-2.5
186,CC_Chg,2.0856,7.8743,4.2,1.25
186,CC_DChg,2.1282,6.8102,2.5,-2.5
187,CC_Chg,2.0839,7.8679,4.2,1.25
187,CC_DChg,2.1264,6.8046,2.5,-2.5
188,CC_Chg,2.0816,7.8591,4.2,1.25
188,CC_DChg,2.1241,6.797,2.5,-2.5
189,CC_Chg,2.0795,7.851,4.2,1.25
189,CC_DChg,2.1219,6.7901,2.5,-2.5
190,CC_Chg,2.0771,7.8423,4.2,1.25
190,CC_DChg,2.1195,6.7825,2.5,-2.5
191,CC_Chg,2.0751,7.8347,4.2,1.25
191,CC_DChg,2.1175,6.7759,2.5,-2.5
192,CC_Chg,2.0728,7.826,4.2,1.25
192,CC_DChg,2.1151,6.7684,2.5,-2.5
193,CC_Chg,2.0712,7.8198,4.2,1.25
193,CC_DChg,2.1134,6.763,2.5,-2.5
194,CC_Chg,2.0692,7.8124,4.2,1.25
194,CC_DChg,2.1115,6.7567,2.5,-2.5
195,CC_Chg,2.067,7.8039,4.2,1.25
195,CC_DChg,2.1092,6.7493,2.5,-2.5
196,CC_Chg,2.0648,7.7958,4.2,1.25
196,CC_DChg,2.107,6.7423,2.5,-2.5
197,CC_Chg,2.063,7.7887,4.2,1.25
197,CC_DChg,2.1051,6.7362,2.5,-2.5
198,CC_Chg,2.0612,7.7822,4.2,1.25
198,CC_DChg,2.1033,6.7306,2.5,-2.5
199,CC_Chg,2.0596,7.7761,4.2,1.25
199,CC_DChg,2.1017,6.7253,2.5,-2.5
200,CC_Chg,2.058,7.7702,4.2,1.25
200,CC_DChg,2.1,6.7201,2.5,-2.5
