Cycle,Step,Capacity(Ah),Voltage(V)
63,CC_DChg,1.090493991677755,3.0
64,CC_DChg,1.09411463219349,3.0
65,CC_DChg,1.0751908879767025,3.0
66,CC_DChg,1.0846518812774117,3.0
67,CC_DChg,1.0709540648431992,3.0
68,CC_DChg,1.0860416752218438,3.0
69,CC_DChg,1.090521655515717,3.0
70,CC_DChg,1.0796454879795925,3.0
71,CC_DChg,1.0958163928987978,3.0
72,CC_DChg,1.095368223458202,3.0
73,CC_DChg,1.0931139517484696,3.0
74,CC_DChg,1.0819497909190852,3.0
75,CC_DChg,1.0783827013438385,3.0
76,CC_DChg,1.0852440354289499,3.0
77,CC_DChg,1.0828364368398073,3.0
78,CC_DChg,1.0842099281626205,3.0
79,CC_DChg,1.0750949958015914,3.0
80,CC_DChg,1.0619036420942154,3.0
81,CC_DChg,1.0782351769155076,3.0
82,CC_DChg,1.0976055211264601,3.0
83,CC_DChg,1.0784116589516073,3.0
84,CC_DChg,1.0988410146018657,3.0
85,CC_DChg,1.0709653015178042,3.0
86,CC_DChg,1.0835117252536801,3.0
87,CC_DChg,1.0837058988291075,3.0
88,CC_DChg,1.0756878170006623,3.0
89,CC_DChg,1.0652882051882802,3.0
90,CC_DChg,1.061463131445926,3.0
91,CC_DChg,1.0859285475568021,3.0
92,CC_DChg,1.0639039066534688,3.0
93,CC_DChg,1.0892239494097031,3.0
94,CC_DChg,1.0562732484478996,3.0
95,CC_DChg,1.0925902017430233,3.0
96,CC_DChg,1.0689057799416826,3.0
97,CC_DChg,1.0560375015891803,3.0
98,CC_DChg,1.0786589936676918,3.0
99,CC_DChg,1.0675946740664652,3.0
100,CC_DChg,1.0819174473867665,3.0
101,CC_DChg,1.097874163469959,3.0
102,CC_DChg,1.098466725953161,3.0
103,CC_DChg,1.0990603353484905,3.0
104,CC_DChg,1.0539159229412949,3.0
105,CC_DChg,1.0621227919141614,3.0
106,CC_DChg,1.0994811186011866,3.0
107,CC_DChg,1.075907873243983,3.0
108,CC_DChg,1.0605860113027508,3.0
109,CC_DChg,1.0629224783409645,3.0
110,CC_DChg,1.092186781814739,3.0
111,CC_DChg,1.0749044966400068,3.0
112,CC_DChg,1.086580588521673,3.0
113,CC_DChg,1.0631031963211377,3.0
114,CC_DChg,1.0770879398061028,3.0
115,CC_DChg,1.0909533779632299,3.0
116,CC_DChg,1.0578095731426402,3.0
117,CC_DChg,1.08710407166961,3.0
118,CC_DChg,1.0562220741262343,3.0
119,CC_DChg,1.0590917644075124,3.0
120,CC_DChg,1.0712440628628166,3.0
121,CC_DChg,1.071515582478916,3.0
122,CC_DChg,1.0737196702233043,3.0
123,CC_DChg,1.089155174004158,3.0
124,CC_DChg,1.086707318510236,3.0
125,CC_DChg,1.0819037026245468,3.0
126,CC_DChg,1.0815318293477916,3.0
127,CC_DChg,1.0492817078367604,3.0
128,CC_DChg,1.0930576450449794,3.0
129,CC_DChg,1.0972837476904618,3.0
130,CC_DChg,1.0990186643547382,3.0
131,CC_DChg,1.0816481783968732,3.0
132,CC_DChg,1.0626643134561662,3.0
133,CC_DChg,1.0394064907992397,3.0
134,CC_DChg,1.0527264832512648,3.0
135,CC_DChg,1.0960825905197629,3.0
136,CC_DChg,1.0552231487855719,3.0
137,CC_DChg,1.066247586066101,3.0
138,CC_DChg,1.0381822347533998,3.0
139,CC_DChg,1.0628160653578955,3.0
140,CC_DChg,1.0696858867832744,3.0
141,CC_DChg,1.0452962850047423,3.0
142,CC_DChg,1.0904457513882604,3.0
143,CC_DChg,1.0521688825112294,3.0
144,CC_DChg,1.0784270405652525,3.0
145,CC_DChg,1.0615793055219371,3.0
146,CC_DChg,1.073731248656655,3.0
147,CC_DChg,1.0741937481854962,3.0
148,CC_DChg,1.059865829384213,3.0
149,CC_DChg,1.095844569578837,3.0
150,CC_DChg,1.0863667965872577,3.0
151,CC_DChg,1.0544087655675267,3.0
152,CC_DChg,1.0406319262267794,3.0
153,CC_DChg,1.0967297248796497,3.0
154,CC_DChg,1.0409150220224361,3.0
155,CC_DChg,1.0363824208447412,3.0
156,CC_DChg,1.0273731890827766,3.0
157,CC_DChg,1.0648682743986484,3.0
158,CC_DChg,1.0472415530528472,3.0
159,CC_DChg,1.0455707347640997,3.0
160,CC_DChg,1.0827630356405817,3.0
161,CC_DChg,1.036707482141223,3.0
162,CC_DChg,1.0443161300246298,3.0
163,CC_DChg,1.0767323646162987,3.0
164,CC_DChg,1.0192555602201359,3.0
165,CC_DChg,1.073296526919346,3.0
166,CC_DChg,1.0572076213064447,3.0
167,CC_DChg,1.0928155228999783,3.0
168,CC_DChg,1.0502400921246995,3.0
169,CC_DChg,1.0705104286493514,3.0
170,CC_DChg,1.0370372613328975,3.0
171,CC_DChg,1.0705290099529208,3.0
172,CC_DChg,1.032111668523814,3.0
173,CC_DChg,1.0959033637737892,3.0
174,CC_DChg,1.02752116327968,3.0
175,CC_DChg,1.0935528441089923,3.0
176,CC_DChg,1.0497128117930952,3.0
177,CC_DChg,1.0978463639196925,3.0
178,CC_DChg,1.075300305827109,3.0
179,CC_DChg,1.0885360628601806,3.0
180,CC_DChg,1.0959942474095918,3.0
181,CC_DChg,1.015929600567919,3.0
182,CC_DChg,1.067159054482895,3.0
183,CC_DChg,1.0567957732396027,3.0
184,CC_DChg,1.0845649991840065,3.0
185,CC_DChg,1.0216242299349225,3.0
186,CC_DChg,1.0569131424933387,3.0
187,CC_DChg,1.0385961113335176,3.0
188,CC_DChg,1.0636622438543955,3.0
189,CC_DChg,1.0876997495583183,3.0
190,CC_DChg,1.0506579237481484,3.0
191,CC_DChg,1.0541701732045978,3.0
192,CC_DChg,1.0327073887948626,3.0
193,CC_DChg,1.0670302371277987,3.0
194,CC_DChg,1.0384670687473876,3.0
195,CC_DChg,1.0550856982429984,3.0
196,CC_DChg,1.0565771011630114,3.0
197,CC_DChg,1.0409433730861068,3.0
198,CC_DChg,1.0516463171902208,3.0
199,CC_DChg,1.061912724268762,3.0
200,CC_DChg,1.03801653596701,3.0
201,CC_DChg,1.0876666615697943,3.0
202,CC_DChg,1.0629379127209189,3.0
203,CC_DChg,1.0870229439767418,3.0
204,CC_DChg,1.084743962423081,3.0
205,CC_DChg,1.0445702340027356,3.0
206,CC_DChg,1.0828310144956057,3.0
207,CC_DChg,1.0528526254214028,3.0
208,CC_DChg,1.087696319766468,3.0
209,CC_DChg,1.0603503076694802,3.0
210,CC_DChg,1.0367336415927084,3.0
211,CC_DChg,1.0476053767265987,3.0
212,CC_DChg,1.0415900405056417,3.0
213,CC_DChg,1.097732930558782,3.0
214,CC_DChg,1.084978025038323,3.0
215,CC_DChg,1.0164632240526488,3.0
216,CC_DChg,1.0677832901771314,3.0
217,CC_DChg,1.0443320674233554,3.0
218,CC_DChg,1.0349273735410327,3.0
219,CC_DChg,1.0560025944339124,3.0
220,CC_DChg,1.016514391305036,3.0
221,CC_DChg,1.0205055203512268,3.0
222,CC_DChg,1.0954320759335823,3.0
223,CC_DChg,1.0804117643676363,3.0
224,CC_DChg,1.0760675899074406,3.0
225,CC_DChg,1.027399684904542,3.0
226,CC_DChg,1.078138846059096,3.0
227,CC_DChg,1.0222585272055373,3.0
228,CC_DChg,1.000843722924005,3.0
229,CC_DChg,1.0371321925445363,3.0
230,CC_DChg,1.0932321156508502,3.0
231,CC_DChg,1.0133865942437676,3.0
232,CC_DChg,0.987672446115672,3.0
233,CC_DChg,1.0766254157559951,3.0
234,CC_DChg,0.9932796603273248,3.0
235,CC_DChg,0.9869018383784285,3.0
236,CC_DChg,1.0804770520925702,3.0
237,CC_DChg,1.0085030497768703,3.0
238,CC_DChg,1.0605298724841203,3.0
239,CC_DChg,1.0422415250503598,3.0
240,CC_DChg,1.0995818907679835,3.0
241,CC_DChg,1.0494539411927677,3.0
242,CC_DChg,1.0328656110955647,3.0
243,CC_DChg,1.097937749464681,3.0
244,CC_DChg,1.0814671064949304,3.0
245,CC_DChg,1.0537282384716662,3.0
246,CC_DChg,1.0462157601409516,3.0
247,CC_DChg,1.0840168885861117,3.0
248,CC_DChg,1.036987976893497,3.0
249,CC_DChg,1.0216885741893553,3.0
250,CC_DChg,0.9999018737540404,3.0
251,CC_DChg,1.0776567139761777,3.0
252,CC_DChg,1.0013036643896631,3.0
253,CC_DChg,1.036038843225091,3.0
254,CC_DChg,1.0631629028335068,3.0
255,CC_DChg,1.0551359898262824,3.0
256,CC_DChg,0.9895142922942879,3.0
257,CC_DChg,0.9835504147442512,3.0
258,CC_DChg,1.0056098687208657,3.0
259,CC_DChg,1.0875047116720327,3.0
260,CC_DChg,1.0608540310708872,3.0
261,CC_DChg,0.97574514240082,3.0
262,CC_DChg,1.0561919806807782,3.0
263,CC_DChg,0.9887286204874133,3.0
264,CC_DChg,1.0935687468424413,3.0
265,CC_DChg,1.0815335635771397,3.0
266,CC_DChg,0.9987168627110555,3.0
267,CC_DChg,1.0974262508537262,3.0
268,CC_DChg,1.074041908312585,3.0
269,CC_DChg,0.9778162946921356,3.0
270,CC_DChg,1.009769797976776,3.0
271,CC_DChg,1.0351055799983102,3.0
272,CC_DChg,0.9645145593277036,3.0
273,CC_DChg,1.011841116573832,3.0
274,CC_DChg,0.96303127774989,3.0
275,CC_DChg,1.0182134952784878,3.0
276,CC_DChg,1.0442754913756158,3.0
277,CC_DChg,1.009451239639791,3.0
278,CC_DChg,1.0659665307356945,3.0
279,CC_DChg,1.0793428693673535,3.0
280,CC_DChg,1.0127202225837582,3.0
281,CC_DChg,1.0883322112873792,3.0
282,CC_DChg,1.08460947000018,3.0
283,CC_DChg,0.9848049075586044,3.0
284,CC_DChg,1.0394871981481848,3.0
285,CC_DChg,1.0923288696651796,3.0
286,CC_DChg,0.9613007558894906,3.0
287,CC_DChg,1.0392539381095565,3.0
288,CC_DChg,1.061623667915118,3.0
289,CC_DChg,1.0621914374436432,3.0
290,CC_DChg,1.0224882029169784,3.0
291,CC_DChg,1.0832508275425936,3.0
292,CC_DChg,1.049450795805089,3.0
293,CC_DChg,1.0797590095768372,3.0
294,CC_DChg,1.0653071853807696,3.0
295,CC_DChg,1.0204907926394957,3.0
296,CC_DChg,1.0017851154596504,3.0
297,CC_DChg,1.0037248737951467,3.0
298,CC_DChg,1.0325779925187857,3.0
299,CC_DChg,1.0351215711035926,3.0
300,CC_DChg,1.084985227244941,3.0
